city,tract,county,Total,White,Black,Native,Asian,Pacific Islander,Other,Two or More
 New York,920, Kings County,2677,76,2287,30,65,0,219,0
 New York,982, Kings County,4431,255,3763,0,24,0,371,18
 New York,944.01, Kings County,3761,87,3495,52,20,0,97,10
 New York,966, Kings County,2680,117,2140,0,117,0,139,167
 New York,1008, Kings County,2149,194,1714,0,108,0,120,13
 New York,1164, Kings County,3495,519,2464,0,78,0,411,23
 New York,1168, Kings County,2012,696,725,49,28,0,358,156
 New York,1182.02, Kings County,3152,1493,831,0,158,0,522,148
 New York,1190, Kings County,2526,714,1257,8,92,0,392,63
 New York,1196, Kings County,4867,1127,2584,0,806,0,266,84
 New York,1202, Kings County,1971,161,1234,0,502,0,29,45
 New York,397, Kings County,3417,1054,1813,0,60,0,390,100
 New York,398, Kings County,2737,1143,0,0,1179,0,355,60
 New York,405, Kings County,1670,354,553,0,55,0,680,28
 New York,407, Kings County,0,0,0,0,0,0,0,0
 New York,410, Kings County,2096,1445,23,0,598,0,5,25
 New York,426, Kings County,4282,1690,81,0,1816,0,559,136
 New York,169, Kings County,5003,4004,37,0,446,0,317,199
 New York,364, Kings County,2377,1555,43,5,465,0,227,82
 New York,373, Kings County,4201,821,2885,45,97,0,335,18
 New York,80, Kings County,3746,1893,99,0,284,0,1183,287
 New York,88, Kings County,2636,1514,119,0,546,0,370,87
 New York,92, Kings County,5668,1478,226,0,2673,0,1201,90
 New York,98, Kings County,7012,1487,173,0,2765,0,2530,57
 New York,101, Kings County,4057,1551,132,85,528,0,1374,387
 New York,128.01, Kings County,2279,691,28,0,1492,0,61,7
 New York,131, Kings County,4226,2763,318,0,352,10,363,420
 New York,135, Kings County,3920,2925,90,0,455,0,200,250
 New York,140, Kings County,1979,1422,67,0,341,0,78,71
 New York,141, Kings County,3033,1976,159,0,370,0,292,236
 New York,177, Kings County,0,0,0,0,0,0,0,0
 New York,181, Kings County,3875,2116,1078,0,231,0,300,150
 New York,186, Kings County,2249,1130,0,0,901,0,188,30
 New York,193, Kings County,6010,2311,2739,0,607,8,125,220
 New York,354, Kings County,5503,5380,53,0,0,0,0,70
 New York,874.01, Kings County,3717,210,3335,0,0,0,76,96
 New York,884, Kings County,4657,88,4450,0,63,0,14,42
 New York,896, Kings County,3175,96,2876,0,116,0,51,36
 New York,908, Kings County,6939,917,4695,16,158,0,950,203
 New York,934, Kings County,2330,60,2202,0,20,0,42,6
 New York,954, Kings County,4230,53,4025,0,62,0,90,0
 New York,968, Kings County,1567,115,1214,0,60,0,60,118
 New York,970, Kings County,2784,191,2425,0,11,0,108,49
 New York,994, Kings County,1850,179,1507,0,121,0,13,30
 New York,1004, Kings County,2645,123,2448,0,15,0,17,42
 New York,201, Kings County,3808,2065,1205,0,186,0,82,270
 New York,1180, Kings County,0,0,0,0,0,0,0,0
 New York,1210, Kings County,4110,1138,2530,114,11,0,237,80
